PRODUCTLINE,Quarter,Month,Year,QUANTITYORDERED,SALES,
Motorcycles,Q1,Feb,2003,30,2871,
Motorcycles,Q2,May,2003,34,2765.9,
Motorcycles,Q3,Jul,2003,41,3884.34,
Motorcycles,Q3,Aug,2003,45,3746.7,
Motorcycles,Q4,Oct,2003,49,5205.27,
Motorcycles,Q4,Oct,2003,36,3479.76,
Motorcycles,Q4,Nov,2003,29,2497.77,
Motorcycles,Q4,Nov,2003,48,5512.32,
Motorcycles,Q4,Dec,2003,22,2168.54,
Motorcycles,Q1,Jan,2004,41,4708.44,
Motorcycles,Q1,Feb,2004,37,3965.66,
Motorcycles,Q2,Apr,2004,23,2333.12,
Motorcycles,Q2,May,2004,28,3188.64,
Motorcycles,Q2,Jun,2004,34,3676.76,
Motorcycles,Q3,Jul,2004,45,4177.35,
Motorcycles,Q3,Aug,2004,36,4099.68,
Motorcycles,Q3,Sep,2004,23,2597.39,
Motorcycles,Q4,Oct,2004,41,4394.38,
Motorcycles,Q4,Nov,2004,46,4358.04,
Motorcycles,Q4,Nov,2004,42,4396.14,
Motorcycles,Q4,Nov,2004,41,7737.93,
Motorcycles,Q4,Dec,2004,20,1451,
Motorcycles,Q1,Feb,2005,21,733.11,
Motorcycles,Q1,Mar,2005,42,3207.12,
Motorcycles,Q2,Apr,2005,24,2434.56,
Motorcycles,Q2,May,2005,66,7516.08,
Classic Cars,Q1,Jan,2003,26,5404.62,
Classic Cars,Q1,Mar,2003,29,7209.11,
Classic Cars,Q2,May,2003,38,7329.06,
Classic Cars,Q3,Jul,2003,37,7374.1,
Classic Cars,Q3,Sep,2003,45,10993.5,
Classic Cars,Q4,Oct,2003,21,4860.24,
Classic Cars,Q4,Nov,2003,34,8014.82,
Classic Cars,Q4,Nov,2003,23,5372.57,
Classic Cars,Q4,Nov,2003,42,7290.36,
Classic Cars,Q4,Dec,2003,47,9064.89,
Classic Cars,Q1,Jan,2004,35,6075.3,
Classic Cars,Q1,Mar,2004,29,6463.23,
Classic Cars,Q2,May,2004,34,6120.34,
Classic Cars,Q2,Jun,2004,32,7680.64,
Classic Cars,Q3,Jul,2004,21,4905.39,
Classic Cars,Q3,Aug,2004,34,8014.82,
Classic Cars,Q3,Sep,2004,37,7136.19,
Classic Cars,Q4,Oct,2004,47,10172.7,
Classic Cars,Q4,Oct,2004,48,11623.7,
Classic Cars,Q4,Nov,2004,40,6000.4,
Classic Cars,Q4,Nov,2004,26,3003,
Classic Cars,Q4,Nov,2004,30,3944.7,
Classic Cars,Q4,Dec,2004,32,5691.84,
Classic Cars,Q1,Jan,2005,41,4514.92,
Classic Cars,Q1,Feb,2005,36,8254.8,
Classic Cars,Q1,Mar,2005,24,2416.56,
Classic Cars,Q2,May,2005,23,4140.23,
Classic Cars,Q2,May,2005,50,12001,
Motorcycles,Q1,Feb,2003,39,3896.49,
Motorcycles,Q2,Apr,2003,29,2793.86,
Motorcycles,Q3,Jul,2003,27,3307.77,
Motorcycles,Q3,Aug,2003,37,5192.95,
Motorcycles,Q4,Oct,2003,37,5016.83,
Motorcycles,Q4,Oct,2003,27,3660.93,
Motorcycles,Q4,Nov,2003,42,4695.6,
Motorcycles,Q4,Nov,2003,38,3660.92,
Motorcycles,Q4,Dec,2003,24,3025.92,
Motorcycles,Q1,Jan,2004,23,3009.09,
Motorcycles,Q1,Feb,2004,47,5422.39,
Motorcycles,Q2,Apr,2004,22,2852.08,
Motorcycles,Q2,May,2004,44,5756.52,
Motorcycles,Q2,Jun,2004,40,4472,
Motorcycles,Q3,Jul,2004,22,2904.44,
Motorcycles,Q3,Aug,2004,47,6484.59,
Motorcycles,Q3,Sep,2004,39,3757.26,
Motorcycles,Q4,Oct,2004,34,4043.96,
Motorcycles,Q4,Nov,2004,45,5566.5,
Motorcycles,Q4,Nov,2004,20,3176,
Motorcycles,Q4,Nov,2004,40,2756.8,
Motorcycles,Q4,Dec,2004,26,1329.9,
Motorcycles,Q1,Feb,2005,39,5288.01,
Motorcycles,Q1,Mar,2005,50,2225.5,
Motorcycles,Q2,Apr,2005,45,5833.8,
Motorcycles,Q2,May,2005,45,5887.35,
Motorcycles,Q1,Feb,2003,27,6065.55,
Motorcycles,Q2,Apr,2003,46,9264.86,
Motorcycles,Q3,Jul,2003,31,7023.98,
Motorcycles,Q3,Aug,2003,33,5176.38,
Motorcycles,Q4,Oct,2003,22,4132.7,
Motorcycles,Q4,Oct,2003,20,4183,
Motorcycles,Q4,Nov,2003,41,8892.9,
Motorcycles,Q4,Nov,2003,45,8714.7,
Motorcycles,Q4,Dec,2003,49,8065.89,
Motorcycles,Q1,Jan,2004,34,6123.4,
Motorcycles,Q1,Feb,2004,49,9774.03,
Motorcycles,Q2,Apr,2004,39,7023.9,
Motorcycles,Q2,May,2004,43,7078.23,
Motorcycles,Q2,Jun,2004,41,8336.94,
Motorcycles,Q3,Jul,2004,36,6901.92,
Motorcycles,Q3,Aug,2004,27,5438.07,
Motorcycles,Q3,Sep,2004,29,6683.34,
Motorcycles,Q4,Oct,2004,20,4570.4,
Motorcycles,Q4,Nov,2004,37,7667.14,
Motorcycles,Q4,Nov,2004,26,5868.2,
Motorcycles,Q4,Nov,2004,39,2990.13,
Motorcycles,Q1,Jan,2005,22,3664.1,
Motorcycles,Q1,Feb,2005,22,3834.38,
Motorcycles,Q1,Mar,2005,21,1822.17,
Motorcycles,Q2,Apr,2005,66,11886.6,
Motorcycles,Q2,May,2005,56,9218.16,
Classic Cars,Q1,Feb,2003,50,7208,
Classic Cars,Q2,Apr,2003,46,5004.8,
Classic Cars,Q2,Jun,2003,33,4398.24,
Classic Cars,Q3,Aug,2003,49,5597.76,
Classic Cars,Q4,Oct,2003,32,4526.08,
Classic Cars,Q4,Oct,2003,44,5924.16,
Classic Cars,Q4,Nov,2003,24,3492.48,
Classic Cars,Q4,Nov,2003,26,3854.24,
Classic Cars,Q4,Nov,2003,45,5324.4,
Classic Cars,Q1,Jan,2004,39,5197.92,
Classic Cars,Q1,Feb,2004,49,5997.6,
Classic Cars,Q2,May,2004,20,2910.4,
Classic Cars,Q2,Jun,2004,27,3378.24,
Classic Cars,Q3,Jul,2004,30,3508.8,
Classic Cars,Q3,Aug,2004,25,2992,
Classic Cars,Q3,Sep,2004,24,3427.2,
Classic Cars,Q4,Oct,2004,22,2692.8,
Classic Cars,Q4,Nov,2004,33,4128.96,
Classic Cars,Q4,Nov,2004,47,3051.71,
Classic Cars,Q4,Nov,2004,25,1201.25,
Classic Cars,Q4,Dec,2004,26,1962.22,
